"county.ind","state.county","yr","glyphosate","diffPCP","diffPCP.9403","diffPCP.0418"
73,"18103",1996,0.0762825279422766,57.9915040000001,55.07001,59.9391666666667
73,"18103",1997,0.118978707996556,-28.3735959999999,-31.29509,-26.4259333333333
73,"18103",1998,0.429580390317806,126.721604,123.80011,128.669266666667
73,"18103",1999,0.534238810043523,-172.329196,-175.25069,-170.381533333333
73,"18103",2000,0.613008956668529,-65.174796,-68.09629,-63.2271333333334
73,"18103",2001,0.62248051284119,36.1718040000001,33.25031,38.1194666666667
73,"18103",2002,0.863680246868075,-89.731296,-92.65279,-87.7836333333334
73,"18103",2003,0.669477139242968,126.374504,123.45301,128.322166666667
73,"18103",2004,0.793736973733711,74.462704,71.54121,76.4103666666666
73,"18103",2005,0.765648949034055,-161.218796,-164.14029,-159.271133333333
73,"18103",2006,0.875833721034144,65.851704,62.93021,67.7993666666666
73,"18103",2007,0.814548869954985,-55.8679959999999,-58.78949,-53.9203333333334
73,"18103",2008,1,-61.449296,-64.3707900000001,-59.5016333333334
73,"18103",2009,1,4.32330400000001,1.40180999999995,6.2709666666666
73,"18103",2010,0.757228594071118,34.0372040000001,31.11571,35.9848666666667
73,"18103",2011,0.745428736069817,86.424204,83.50271,88.3718666666666
73,"18103",2012,0.78041943546107,-250.664996,-253.58649,-248.717333333333
73,"18103",2013,0.944455962078207,85.260904,82.3394099999999,87.2085666666666
73,"18103",2014,1,-64.321496,-67.24299,-62.3738333333334
73,"18103",2015,0.802062963145494,100.859004,97.93751,102.806666666667
73,"18103",2016,0.982945692230146,-37.115196,-40.03669,-35.1675333333334
73,"18103",2017,0.830583670112995,149.244204,146.32271,151.191866666667
73,"18103",2018,0.791314444353986,0.959604000000013,-1.96189000000004,2.9072666666666
74,"18107",1994,0.127236130840477,-50.5756279999999,-19.00432,-71.6231666666666
74,"18107",1995,0.146018089833765,-101.573928,-70.00262,-122.621466666667
74,"18107",1996,0.214287029419822,73.8373720000001,105.40868,52.7898333333334
74,"18107",1997,0.186556613876469,-198.787528,-167.21622,-219.835066666667
74,"18107",1998,0.549307158355462,142.157472,173.72878,121.109933333333
74,"18107",1999,0.541958253824378,-174.169828,-142.59852,-195.217366666667
74,"18107",2000,0.794687773913415,-75.593628,-44.02232,-96.6411666666667
74,"18107",2001,0.70482035275269,-105.417928,-73.84662,-126.465466666667
74,"18107",2002,0.911322323525817,120.067572,151.63888,99.0200333333333
74,"18107",2003,0.774838584114805,54.342972,85.91428,33.2954333333333
74,"18107",2004,0.988619272018859,-13.2420279999999,18.32928,-34.2895666666666
