yr,spGDD.east,spPCP.east
1994,354,187.533
1995,360,206.8311
1996,340,90.32117
1997,303,395.744
1998,370,205.4177
1999,387,159.42467
2000,396,172.961
2001,369,224.2733
2002,423,168.6798
2003,371,153.944
2004,352,287.4372
2005,343,172.7512
2006,431,172.3445
2007,349,223.3776
2008,382,212.1177
2009,383,224.5796
2010,345,235.0164
2011,469,67.90364
2012,451,257.0671
2013,332,141.8113
2014,355,116.8732
2015,385,326.1745
2016,370,323.8731
2017,420,223.2927
2018,360,232.8231
