"county.ind","state.county","yr","glyphosate","summer.pcp"
95,"19011",2010,0.885528266727271,135.558766010251
95,"19011",2011,0.824047121117033,85.2950475379301
95,"19011",2012,0.909137112273424,53.7607831104789
95,"19011",2013,1,122.644849044684
95,"19011",2014,0.893518166827973,111.997533899187
95,"19011",2015,0.954559223922644,107.011264578932
95,"19011",2016,0.883815603336396,105.457964448535
95,"19011",2017,0.960455344588847,76.770794366166
95,"19011",2018,0.851647844031933,101.02079361782
96,"19013",2004,0.608753465233734,99.125438511835
96,"19013",2005,0.656404473249745,90.0829484583488
96,"19013",2006,0.790389473390048,73.2509158317289
96,"19013",2007,1,128.222433520531
96,"19013",2008,1,143.679957764126
96,"19013",2009,1,114.482974446265
96,"19013",2010,0.91649026822738,150.43686131375
96,"19013",2011,0.912511396729094,89.6780156583093
96,"19013",2012,0.923416961664574,52.1976361926617
96,"19013",2013,1,126.684757584016
96,"19013",2014,0.887511277764318,100.802575309743
96,"19013",2015,0.896143893120473,102.200178279067
96,"19013",2016,0.947391397317516,102.750990779672
96,"19013",2017,1,73.1933282565793
96,"19013",2018,0.940996495051787,100.094153838023
97,"19015",2004,0.632053626120614,102.643968974171
97,"19015",2005,0.617211275571357,88.1338234301013
97,"19015",2006,0.741797321443483,92.7708676470518
97,"19015",2007,0.892866858839437,124.543224402535
97,"19015",2008,1,152.408990626575
97,"19015",2009,1,93.1471832886455
97,"19015",2010,0.879118180706363,158.807679819329
97,"19015",2011,0.970107609504882,82.5806802745592
97,"19015",2012,0.891781496195695,61.3516606588492
97,"19015",2013,0.947190547456764,94.7525633031552
97,"19015",2014,0.921007023614817,113.227188938774
97,"19015",2015,0.829312333661611,136.896414317297
97,"19015",2016,0.847904511076535,107.603660386366
97,"19015",2017,0.718168714022211,71.5824176246803
97,"19015",2018,0.810006706278177,106.883642232093
98,"19017",2004,0.585038817077726,116.097366991292
98,"19017",2005,0.648211504760221,109.085796127203
98,"19017",2006,0.773989434398056,84.4191591510154
98,"19017",2007,0.996023046114924,125.790324108118
98,"19017",2008,0.995645173683091,141.787365449482
98,"19017",2009,1,105.878018783111
98,"19017",2010,0.891606673994172,132.668672948958
98,"19017",2011,0.89459440778234,89.6338569516636
98,"19017",2012,0.971991753530992,62.8467861836259
98,"19017",2013,1,123.142008933299
98,"19017",2014,0.893093002929782,108.210442370627
98,"19017",2015,0.889257008717727,97.5117226087067
98,"19017",2016,0.943145449507835,114.34346121187
98,"19017",2017,1,106.800693484596
98,"19017",2018,0.920494686971328,135.783784295482
99,"19019",2004,0.559245231458692,112.811125660704
99,"19019",2005,0.617372319723754,87.6074467104648
99,"19019",2006,0.749776125551135,84.4133668573447
99,"19019",2007,1,116.805142854023
99,"19019",2008,0.977080240610803,143.812211681737
99,"19019",2009,1,108.291571943884
99,"19019",2010,0.86263150830738,150.000345118699
99,"19019",2011,0.868682387077974,92.3130374379817
99,"19019",2012,0.874943009776378,55.5403926045164
99,"19019",2013,1,128.607078536327
99,"19019",2014,0.861473575597402,93.7057067092056
99,"19019",2015,0.846040315394167,88.8773493347416
99,"19019",2016,0.906058475369091,100.64452992858
99,"19019",2017,0.970851109248506,80.2654342722527
99,"19019",2018,0.900911115234297,113.81020026454
100,"19021",2004,0.792051739896007,78.4639543067216
100,"19021",2005,0.67123293274772,94.6380100523954
100,"19021",2006,0.867951591000163,64.552543319696
100,"19021",2007,1,112.350039555853
100,"19021",2008,1,108.360722365465
100,"19021",2009,1,74.6596906011574
100,"19021",2010,0.934006954166267,144.000957741063
100,"19021",2011,0.907600506403888,91.9955439875797
100,"19021",2012,1,73.7515574163084
100,"19021",2013,1,95.560612972784
100,"19021",2014,1,141.167535575519
100,"19021",2015,0.941782605964197,122.53501255046
100,"19021",2016,0.892942909620567,109.072959015584
100,"19021",2017,0.961924977968785,84.574679054512
100,"19021",2018,0.787794053319833,119.075968609556
101,"19023",2004,0.728524958363894,97.7488151658768
101,"19023",2005,0.655269267828823,106.52111094468
101,"19023",2006,0.772595656840286,79.1547946698621
101,"19023",2007,0.845613004725733,123.784419374437
101,"19023",2008,1,141.594223199006
101,"19023",2009,1,106.166552959154
101,"19023",2010,0.967923176774738,126.818677144569
101,"19023",2011,0.885860200356165,80.5125154283709
101,"19023",2012,0.995524238009818,59.0989631555964
101,"19023",2013,1,128.526563531127
101,"19023",2014,0.869518807078255,113.624758730388
101,"19023",2015,0.914629045210052,109.104437238758
101,"19023",2016,0.830637661535745,112.560533576007
101,"19023",2017,0.738662092343041,89.1536089055926
101,"19023",2018,0.859520879498896,133.747130154199
102,"19025",2004,0.738162299967238,93.8169726927033
102,"19025",2005,0.61047837966013,95.4967887374614
102,"19025",2006,0.721412781583341,71.045913915712
102,"19025",2007,0.894923043416917,132.942949179222
102,"19025",2008,1,122.375711368215
102,"19025",2009,1,85.4164314225562
102,"19025",2010,0.807254313832798,141.69315580873
102,"19025",2011,0.855032187684939,78.7919240210831
102,"19025",2012,0.955793737279729,61.8816854752817
102,"19025",2013,1,88.7884665634319
102,"19025",2014,0.991708754274472,122.078485250978
102,"19025",2015,0.993726165522852,124.453688949591
102,"19025",2016,0.998389994890053,95.1475106434
102,"19025",2017,0.933642805425704,76.834579580449
102,"19025",2018,0.869635941107302,136.745824006792
103,"19027",2004,0.726211564142009,93.1096420148225
103,"19027",2005,0.58259105431983,85.2394186030481
103,"19027",2006,0.69284154852066,88.8454672696041
103,"19027",2007,0.863113649290996,124.652546093052
103,"19027",2008,1,129.506570131388
103,"19027",2009,1,99.682094601864
103,"19027",2010,0.790082186064315,139.733966601108
103,"19027",2011,0.841704249756948,83.2893467615012
103,"19027",2012,0.947231775839762,63.0446814546394
103,"19027",2013,1,89.5031326388294
103,"19027",2014,0.987914581409604,135.827803687437
103,"19027",2015,0.986674316484473,143.622195384966
103,"19027",2016,0.986050737694974,100.776694330003
103,"19027",2017,0.920081739393879,91.7120508120498
103,"19027",2018,0.872026176584958,119.981305434841
