yr,feb,spGDD.east,spPCP.east
2004,7.28376253,352,287.4372
2005,1.62,343,172.7512
2006,6.28,431,172.3445
2007,3.51,349,223.3776
2008,0.89,382,212.1177
2009,3.4,383,224.5796
2010,0.77,345,235.0164
2011,2.95,469,67.90364
2012,1.19,451,257.0671
2013,0.89,332,141.8113
2014,0.98,355,116.8732
2015,2.34,385,326.1745
2016,2.79,370,323.8731
2017,1.07,420,223.2927
2018,2.27,360,232.8231
